Threads,Size,Walltime(s)
1,1000,211.174475
2,1414,210.552825
4,2000,361.253088
8,2828,367.233735
16,4000,394.157371
24,4899,397.351228
32,5657,400.988916
40,6325,405.383373
48,6928,404.024870
56,7483,415.567774
64,8000,415.794142
