Algorithm,Processors,Avg_Latency(us)
4,8,1.09
4,16,2.41
4,32,2.70
4,48,3.62
4,64,4.11
4,96,6.11
4,128,5.70
4,176,62.99
4,224,45.63
4,256,45.44
2,2,2.74
2,4,3.54
2,8,7.76
2,16,22.84
2,32,38.34
2,48,48.27
2,64,72.78
2,96,109.43
2,128,143.61
2,176,195.85
2,224,245.77
2,256,327.16
4,2,0.33
4,4,0.55
4,8,1.13
4,16,2.40
4,32,2.79
4,48,4.83
4,64,3.50
4,96,5.85
4,128,5.61
4,176,39.74
4,224,49.31
4,256,39.04
2,2,1.75
2,4,4.95
2,8,7.70
2,16,24.10
2,32,36.69
2,48,48.63
2,64,74.84
2,96,102.94
2,128,146.01
2,176,194.08
2,224,274.98
2,256,342.43
4,2,0.33
4,4,0.58
4,8,1.12
4,16,2.62
4,32,2.58
4,48,3.50
4,64,4.22
4,96,6.41
4,128,5.72
4,176,39.97
4,224,42.42
4,256,40.34
2,2,2.23
2,4,4.11
2,8,7.68
2,16,22.16
2,32,35.49
2,48,49.52
2,64,71.90
2,96,109.77
2,128,139.49
2,176,196.42
2,224,271.59
2,256,293.94
4,2,0.31
4,4,0.55
4,8,1.08
4,16,2.42
4,32,2.77
4,48,3.43
4,64,3.67
4,96,5.72
4,128,5.89
4,176,52.65
4,224,39.76
4,256,40.41
