Algorithm,Processors,Avg_Latency(us)
2,16,2217.65
2,24,34898.34
2,48,5808.86
4,2,45.98
4,4,37.12
4,8,74.66
4,12,39.82
4,16,15.56
4,24,16.77
4,48,35176.03
0,2,164.29
0,4,10.94
0,8,10.47
0,12,516.46
0,16,15.79
0,24,5587.31
0,48,5576.68
1,2,503.10
1,4,40.29
1,8,59.64
1,12,90.76
1,16,110.43
1,24,1342.59
1,48,7513.06
2,2,21.98
2,4,253.75
2,8,881.13
2,12,1541.15
2,16,2181.19
2,24,3541.93
2,48,5310.57
4,2,219.68
4,4,45.82
4,8,31.89
4,12,15.09
4,16,13.11
4,24,17.06
4,48,30379.19
0,2,46.69
0,4,570.33
0,8,28.99
0,12,1902.86
0,16,11.81
0,24,2325.37
0,48,42536.64
1,2,56.54
1,4,64.15
1,8,57.88
1,12,85.31
1,16,118.53
1,24,261.84
1,48,7488.13
2,2,21.61
2,4,243.25
2,8,2781.47
2,12,1552.28
2,16,2210.76
2,24,25080.47
2,48,5662.05
4,2,45.51
4,4,69.96
4,8,19.06
4,12,15.69
4,16,12.04
4,24,713.77
4,48,22994.67
0,2,1282.22
0,4,403.88
0,8,10.42
0,12,526.78
0,16,25.35
0,24,2053.92
0,48,10767.99
1,2,86.94
1,4,25.88
1,8,55.27
1,12,95.43
1,16,151.90
1,24,242.83
1,48,8169.13
2,2,35.56
2,4,268.71
2,8,892.93
2,12,1675.66
2,16,2212.71
2,24,3547.00
2,48,5821.72
4,2,1374.45
4,4,53.48
4,8,7.83
4,12,14.63
4,16,11.07
4,24,16.52
4,48,60246.61
0,2,215.15
0,4,87.31
0,8,56.53
0,12,379.44
0,16,14.07
0,24,600.47
0,48,6179.96
1,2,293.10
1,4,49.52
1,8,55.99
1,12,132.44
1,16,134.51
1,24,217.15
1,48,7518.14
2,2,21.43
2,4,240.28
2,8,872.98
2,12,1560.51
2,16,2181.36
2,24,4166.56
2,48,4721.86
4,2,47.29
4,4,36.37
4,8,13.98
4,12,53.98
4,16,15.97
4,24,16.61
4,48,30872.96
0,2,2479.71
0,4,32.81
0,8,21.15
0,12,519.87
0,16,107.88
0,24,2138.60
0,48,4236.57
1,2,83.29
1,4,82.53
1,8,61.06
1,12,97.48
1,16,109.69
1,24,248.69
1,48,7724.71
2,2,21.70
2,4,262.34
2,8,888.28
2,12,1536.94
2,16,2199.30
2,24,5352.15
2,48,5885.56
4,2,2905.26
4,4,39.93
4,8,11.70
4,12,16.45
4,16,52.70
4,24,707.88
4,48,36592.98
0,2,51.11
0,4,300.36
0,8,16.40
0,12,428.72
0,16,2769.84
0,24,529.02
0,48,4786.18
1,2,3042.95
1,4,41.05
1,8,59.20
1,12,92.37
1,16,113.67
1,24,271.76
1,48,7752.41
2,2,21.63
2,4,250.55
2,8,955.49
2,12,1528.18
2,16,2217.08
2,24,3598.36
2,48,5631.09
4,2,47.54
4,4,249.67
4,8,20.12
4,12,22.95
4,16,16.98
4,24,15.30
4,48,28611.96
