Algorithm,Processors,Size(bytes),Avg_Latency(us)
2,2,16,0.51
2,2,32,0.75
2,2,64,0.68
2,2,128,7.23
2,2,256,22.79
2,2,512,6.75
2,2,1024,7.35
2,2,2048,6.97
2,2,4096,20.19
2,2,8192,27.35
2,2,16384,27.16
2,2,32768,49.86
2,2,65536,16.78
2,2,131072,25.34
2,2,262144,54.07
2,2,524288,87.40
2,2,1048576,166.09
2,4,1,2.74
2,4,2,0.79
2,4,4,0.69
2,4,8,0.61
2,4,16,0.65
2,4,32,6.07
2,4,64,0.90
2,4,128,14.80
2,4,256,20.12
2,4,512,14.58
2,4,1024,15.13
2,4,2048,26.27
2,4,4096,48.30
2,4,8192,73.38
2,4,16384,15.23
2,4,32768,23.44
2,4,65536,41.39
2,4,131072,61.22
2,4,262144,105.19
2,4,524288,220.44
2,4,1048576,444.47
2,8,1,5.24
2,8,2,1.26
2,8,4,6.54
2,8,8,4.62
2,8,16,3.84
2,8,32,1.46
2,8,64,4.04
2,8,128,22.21
2,8,256,21.09
2,8,512,24.05
2,8,1024,35.59
2,8,2048,49.18
2,8,4096,61.79
2,8,8192,86.81
2,8,16384,40.97
2,8,32768,42.89
2,8,65536,65.92
2,8,131072,125.62
2,8,262144,227.91
2,8,524288,420.99
2,8,1048576,924.56
2,12,1,932.52
2,12,2,8.13
2,12,4,8.99
2,12,8,7.02
2,12,16,6.02
2,12,32,5.11
2,12,64,15.84
2,12,128,27.44
2,12,256,59.28
2,12,512,50.79
2,12,1024,58.18
2,12,2048,68.90
2,12,4096,89.06
2,12,8192,113.29
2,12,16384,43.03
2,12,32768,55.14
2,12,65536,90.35
2,12,131072,166.25
2,12,262144,288.33
2,12,524288,552.10
2,12,1048576,1110.15
2,16,1,6.99
2,16,2,2.30
2,16,4,26.19
2,16,8,16.85
2,16,16,2.00
2,16,32,14.45
2,16,64,3.43
2,16,128,36.36
2,16,256,35.02
2,16,512,43.06
2,16,1024,34.23
2,16,2048,79.92
2,16,4096,91.96
2,16,8192,133.83
2,16,16384,57.50
2,16,32768,84.56
2,16,65536,120.17
2,16,131072,217.24
2,16,262144,393.66
2,16,524288,760.51
2,16,1048576,1436.93
2,24,1,138.41
2,24,2,24.81
2,24,4,9.31
2,24,8,6.46
2,24,16,12.26
2,24,32,6.87
2,24,64,786.96
2,24,128,44.52
2,24,256,67.08
2,24,512,46.31
2,24,1024,65.99
2,24,2048,1252.56
2,24,4096,139.51
2,24,8192,174.61
2,24,16384,83.95
2,24,32768,131.30
2,24,65536,164.93
2,24,131072,296.63
2,24,262144,499.61
2,24,524288,941.29
2,24,1048576,1823.80
2,48,1,4258.82
2,48,2,11.98
2,48,4,68.87
2,48,8,19.37
2,48,16,18.82
2,48,32,20.15
2,48,64,9.97
2,48,128,87.50
2,48,256,516.43
2,48,512,92.99
2,48,1024,114.97
2,48,2048,1335.91
2,48,4096,184.97
2,48,8192,1238.25
2,48,16384,109.59
2,48,32768,116.46
2,48,65536,208.84
2,48,131072,321.07
2,48,262144,491.28
2,48,524288,958.08
2,48,1048576,17144.56
5,2,1,336.42
5,2,2,0.62
5,2,4,0.54
5,2,8,0.49
5,2,16,0.60
